"";"alb_ID";"alb_chr";"alb_start";"alb_end";"alb_strand";"atr_ID";"atr_scf";"atr_start";"atr_end";"gam_ID";"gam_chr";"gam_start";"gam_end"
"39";"AALB007358";"3R";28222288;28223427;-1;"AATE015044";"KI421909";1113759;1114871;"AGAP010321";"3L";666756;668138
"40";"AALB010196";"3R";9931411;9936467;1;"AATE006099";"KI421899";2656352;2661203;"AGAP012237";"3L";39209948;39235216
"41";"AALB010105";"3R";7872362;7874498;1;"AATE015309";"KI421893";6923513;6924184;"AGAP011565";"3L";27807712;27808389
"42";"AALB010739";"3R";18415905;18419752;-1;"AATE016403";"KI421893";5947924;5949180;"AGAP010648";"3L";7964187;7965356
"43";"AALB009936";"3R";5213451;5220650;1;"AATE012012";"KI421893";2505224;2513063;"AGAP011967";"3L";35682479;35684898
"44";"AALB010361";"3R";12607895;12618062;-1;"AATE013060";"KI421887";1099156;1109667;"AGAP011252";"3L";20080466;20081978
"45";"AALB010335";"3R";12157938;12160767;1;"AATE000522";"KI421887";6748934;6751848;"AGAP011426";"3L";24491008;24493613
"46";"AALB003899";"3R";28507204;28515135;-1;"AATE006708";"KI421909";812762;814086;"AGAP010399";"3L";2710149;2711749
"47";"AALB006963";"3R";24303870;24311558;-1;"AATE010980";"KI421910";806948;819737;"AGAP010881";"3L";12400072;12406139
"48";"AALB007553";"3R";31888443;31889153;-1;"AATE001123";"KI421973";17157;17867;"AGAP028223";"3L";2448546;2449463
"49";"AALB010216";"3R";10300673;10301747;-1;"AATE012082";"KI421893";3525675;3526854;"AGAP010544";"3L";6010298;6011447
"50";"AALB003967";"3R";22353867;22361108;1;"AATE012598";"KI421893";4637520;4646619;"AGAP012115";"3L";37774151;37782167
"51";"AALB009959";"3R";5555042;5555998;-1;"AATE019840";"KI421899";2725764;2727049;"AGAP012227";"3L";39154038;39155141
"52";"AALB010464";"3R";14070744;14072386;1;"AATE009424";"KI421902";2491081;2503220;"AGAP011334";"3L";21299916;21353050
"53";"AALB009950";"3R";5469310;5472457;1;"AATE005195";"KI421893";4023250;4034038;"AGAP028498";"3L";5438584;5452753
"54";"AALB004009";"3R";21888586;21897108;-1;"AATE013449";"KI421917";625558;627263;"AGAP010345";"3L";1905308;1909582
"55";"AALB007431";"3R";27052891;27054456;1;"AATE014921";"KI421902";465613;467654;"AGAP011281";"3L";20532315;20533809
"56";"AALB015751";"3R";3406236;3408745;1;"AATE007187";"KI421902";2291427;2293995;"AGAP011326";"3L";21109736;21110657
"57";"AALB007458";"3R";33184483;33189633;1;"AATE002772";"KI421924";275415;284243;"AGAP004696";"2L";1926520;1965505
"58";"AALB009841";"3R";3560650;3586690;1;"AATE007097";"KI421902";1953497;1970834;"AGAP010490";"3L";5009145;5025078
"59";"AALB003732";"3R";154192;155334;1;"AATE007391";"KI421887";8234331;8235656;"AGAP011896";"3L";34674684;34676121
"60";"AALB003831";"3R";1322994;1325659;1;"AATE006371";"KI421887";5829991;5833081;"AGAP011626";"3L";30319911;30323276
"61";"AALB010158";"3R";9311666;9312426;-1;"AATE016912";"KI421902";851375;860214;"AGAP010744";"3L";9646585;9647559
"62";"AALB007101";"3R";26605100;26607390;1;"AATE007068";"KI421918";380674;383043;"AGAP000908";"X";17125043;17134310
"63";"AALB003778";"3R";649703;654068;1;"AATE015276";"KI421888";61875;63600;"AGAP001104";"2R";81095;84532
"64";"AALB009766";"3R";2768303;2769611;1;"AATE021165";"KI421901";2971765;2973085;"AGAP028005";"3L";36680868;36682771
"65";"AALB007363";"3R";28086210;28091012;1;"AATE009882";"KI421909";1212111;1217608;"AGAP028491";"3L";837955;843075
"66";"AALB010279";"3R";11181561;11181872;1;"AATE004860";"KI421899";1727541;1735802;"AGAP011063";"3L";16089670;16089942
"67";"AALB008484";"3R";23713130;23715302;-1;"AATE020801";"KI421929";232721;235023;"AGAP010698";"3L";8715196;8717087
"68";"AALB007086";"3R";26419680;26423482;1;"AATE017460";"KI421901";2784905;2788283;"AGAP012046";"3L";36853545;36856186
"69";"AALB004021";"3R";21629071;21638369;-1;"AATE008323";"KI421903";6394;11123;"AGAP011347";"3L";21523450;21527626
"70";"AALB006978";"3R";24380764;24381626;1;"AATE003309";"KI422168";2505;4658;"AGAP010936";"3L";13367862;13370332
"71";"AALB003961";"3R";22398053;22400121;-1;"AATE002056";"KI421893";4604556;4606647;"AGAP011398";"3L";23819658;23822292
"72";"AALB007392";"3R";27360200;27363888;1;"AATE006455";"KI421902";80593;101095;"AGAP011319";"3L";20960134;20964187
"73";"AALB010126";"3R";8485840;8488130;-1;"AATE004146";"KI421893";2925608;2928957;"AGAP012002";"3L";36079982;36082173
"74";"AALB010795";"3R";19662877;19665037;-1;"AATE011310";"KI421901";1053014;1055637;"AGAP028543";"3L";38979713;38982973
"75";"AALB004017";"3R";21717382;21730647;1;"AATE013323";"KI421903";205319;215372;"AGAP011351";"3L";21618592;21648819
"76";"AALB001225";"3R";31835032;31839176;-1;"AATE014554";"KI422027";21879;24930;"AGAP010380";"3L";2388740;2391284
"77";"AALB007584";"3R";28973683;28975114;-1;"AATE008364";"KI421898";899644;901076;"AGAP000444";"X";7822793;7824134
"78";"AALB003787";"3R";742810;745656;-1;"AATE019603";"KI421887";7499258;7502829;"AGAP012375";"3L";41234121;41236116
"79";"AALB014910";"3R";5145643;5147716;1;"AATE006699";"KI421893";2414722;2417046;"AGAP011971";"3L";35698399;35700703
"80";"AALB010779";"3R";19320964;19322224;-1;"AATE018203";"KI421899";1340499;1342466;"AGAP011137";"3L";17791455;17792757
"81";"AALB003712";"3R";16801;18872;1;"AATE016488";"KI421887";9510454;9518411;"AGAP012419";"3L";41839709;41841606
"82";"AALB010460";"3R";14017178;14022753;-1;"AATE015976";"KI421902";2561082;2567653;"AGAP011337";"3L";21374043;21377555
"83";"AALB010235";"3R";10554686;10556460;1;"AATE018663";"KI421893";3194078;3196235;"AGAP010568";"3L";6437208;6438871
"84";"AALB003731";"3R";145927;153990;1;"AATE003805";"KI421887";8236993;8243933;"AGAP011897";"3L";34676783;34684164
"85";"AALB010522";"3R";15124746;15126349;1;"AATE007071";"KI421899";4513897;4515668;"AGAP011803";"3L";33338853;33340291
"86";"AALB010350";"3R";12530122;12532742;1;"AATE007493";"KI421899";1460459;1464306;"AGAP011058";"3L";15801273;15803961
"87";"AALB010042";"3R";6916747;6918200;-1;"AATE009784";"KI421899";598409;600238;"AGAP011505";"3L";25725970;25726656
"88";"AALB007568";"3R";28703532;28710537;1;"AATE007112";"KI421909";649614;651838;"AGAP010406";"3L";2787330;2789650
"89";"AALB003781";"3R";669308;671403;-1;"AATE016558";"KI421887";7584245;7591438;"AGAP012367";"3L";41132773;41134888
"90";"AALB009810";"3R";3188129;3188542;-1;"AATE019501";"KI421887";3051053;3085665;"AGAP011451";"3L";24837125;24838804
"91";"AALB009939";"3R";5228975;5230228;-1;"AATE002302";"KI421893";2524130;2525408;"AGAP011970";"3L";35696744;35698061
"92";"AALB001222";"3R";31853545;31858217;1;"AATE008205";"KI421973";62094;66819;"AGAP010383";"3L";2418050;2420425
"93";"AALB010054";"3R";7118299;7128543;1;"AATE000093";"KI421893";6805558;6807618;"AGAP011723";"3L";32414119;32415889
"94";"AALB007366";"3R";28062513;28064359;-1;"AATE003202";"KI421909";1245788;1247129;"AGAP010328";"3L";884186;885693
"95";"AALB010215";"3R";10289559;10295758;1;"AATE016344";"KI421893";3534206;3536530;"AGAP010543";"3L";5999835;6001192
"96";"AALB009890";"3R";4199431;4205179;-1;"AATE009104";"KI421899";1986720;2015754;"AGAP011087";"3L";16433170;16452458
"97";"AALB009899";"3R";4321185;4322755;1;"AATE021113";"KI421899";1839598;1842358;"AGAP011078";"3L";16307137;16308684
"98";"AALB010665";"3R";17434468;17437949;1;"AATE012279";"KI421893";2870796;2874801;"AGAP011996";"3L";36027081;36029505
"99";"AALB008478";"3R";23798082;23798966;1;"AATE014464";"KI421903";490216;491091;"AGAP011361";"3L";21978827;21979705
"100";"AALB010191";"3R";9893014;9896327;-1;"AATE017308";"KI421899";2596041;2599772;"AGAP012241";"3L";39252710;39255937
"101";"AALB003804";"3R";916348;921377;1;"AATE016332";"KI421887";9837735;9842599;"AGAP012404";"3L";41748911;41753784
"102";"AALB010315";"3R";11900288;11902690;1;"AATE006331";"KI421887";6474160;6481613;"AGAP011678";"3L";31279278;31281450
"103";"AALB010384";"3R";12740659;12741464;1;"AATE016169";"KI421887";8794014;8794866;"AGAP011829";"3L";33879862;33880524
"104";"AALB004040";"3R";21335034;21335789;1;"AATE002400";"KI421893";4901299;4902252;"AGAP012136";"3L";38000934;38001850
"105";"AALB003996";"3R";22124137;22125933;1;"AATE008989";"KI421909";363500;366363;"AGAP010479";"3L";4181864;4184643
"106";"AALB010567";"3R";15708792;15710529;-1;"AATE018986";"KI421887";307201;324791;"AGAP028621";"3L";19293475;19298795
"107";"AALB010292";"3R";11468978;11484334;1;"AATE013124";"KI421887";6045708;6051355;"AGAP011641";"3L";30629104;30635546
"108";"AALB003708";"3R";1481;2050;1;"AATE007912";"KI421884";11052880;11055545;"AGAP007722";"2L";49276905;49278748
"109";"AALB004052";"3R";21257844;21259372;1;"AATE005515";"KI421893";4821350;4822399;"AGAP012129";"3L";37935004;37936459
"110";"AALB010262";"3R";10765756;10769334;1;"AATE016864";"KI421887";8899034;8925434;"AGAP011815";"3L";33705848;33712398
"111";"AALB010717";"3R";18105081;18107513;-1;"AATE012856";"KI421887";3216218;3218137;"AGAP010764";"3L";10011452;10012510
"112";"AALB010320";"3R";11928560;11931637;1;"AATE013866";"KI421887";6503579;6504925;"AGAP028600";"3L";31315641;31317135
"113";"AALB007387";"3R";27431797;27438685;-1;"AATE020954";"KI421902";20435;37011;"AGAP011322";"3L";21051375;21061269
"114";"AALB008481";"3R";23741726;23748020;-1;"AATE013057";"KI421903";425886;428639;"AGAP011358";"3L";21847951;21850205
"115";"AALB007589";"3R";29034097;29037925;-1;"AATE018235";"KI421910";1298174;1303184;"AGAP010428";"3L";3183627;3188651
"116";"AALB004067";"3R";21131202;21132038;1;"AATE019437";"KI421893";7709835;7710623;"AGAP011542";"3L";26974445;26975221
"117";"AALB007518";"3R";32321319;32327645;1;"AATE014119";"KI421894";5377675;5388649;"AGAP004798";"2L";3638641;3645721
"118";"AALB010772";"3R";19226402;19227400;1;"AATE018145";"KI421899";1197840;1198782;"AGAP011131";"3L";17689307;17690340
"119";"AALB010117";"3R";8355999;8369690;-1;"AATE013601";"KI421893";3071196;3077321;"AGAP028012";"3L";36219980;36225720
"120";"AALB009893";"3R";4287212;4290631;1;"AATE007731";"KI421899";1882504;1885689;"AGAP011084";"3L";16351133;16353867
"121";"AALB010794";"3R";19659292;19662823;1;"AATE001758";"KI421901";1055533;1059654;"AGAP012218";"3L";38976274;38979787
"122";"AALB010398";"3R";12885901;12887077;-1;"AATE000730";"KI421901";3349601;3350452;"AGAP010591";"3L";6563226;6564786
"123";"AALB009855";"3R";3723633;3725099;-1;"AATE015261";"KI421902";1779068;1789824;"AGAP010506";"3L";5185540;5186359
"124";"AALB010488";"3R";14330787;14344239;1;"AATE016236";"KI421887";2430463;2437726;"AGAP012156";"3L";38107309;38112799
"125";"AALB007046";"3R";25912175;25913797;1;"AATE008666";"KI421893";728474;730642;"AGAP011168";"3L";18206169;18207139
"126";"AALB007537";"3R";32157545;32159442;-1;"AATE015755";"KI422248";641;2430;"AGAP001056";"X";21755596;21762662
"127";"AALB007605";"3R";29628144;29633019;-1;"AATE015686";"KI421913";486832;489451;"AGAP010441";"3L";3633028;3635096
"128";"AALB004023";"3R";21626890;21627782;1;"AATE018041";"KI421903";3556;4649;"AGAP011345";"3L";21518924;21519989
"129";"AALB010813";"3R";19849230;19851066;-1;"AATE018576";"KI421901";2382948;2384727;"AGAP012168";"3L";38263673;38269107
"130";"AALB010843";"3R";20338042;20344898;1;"AATE002172";"KI421887";1113803;1121412;"AGAP011254";"3L";20103925;20110453
"131";"AALB010643";"3R";16947881;16953046;-1;"AATE019068";"KI421901";1746480;1755033;"AGAP010867";"3L";12157568;12160730
"132";"AALB010190";"3R";9869109;9886332;-1;"AATE010521";"KI421899";2561750;2573088;"AGAP012244";"3L";39274308;39281291
"133";"AALB001230";"3R";31806922;31811407;-1;"AATE006891";"KI421917";86036;89362;"AGAP010376";"3L";2343836;2347311
"134";"AALB010704";"3R";17933943;17940088;-1;"AATE012291";"KI421887";3388274;3397393;"AGAP010781";"3L";10277400;10283541
"135";"AALB010336";"3R";12165675;12169508;-1;"AATE004290";"KI421887";6754961;6760054;"AGAP011425";"3L";24479909;24486116
"136";"AALB010319";"3R";11921874;11928262;-1;"AATE015836";"KI421887";6501813;6504971;"AGAP011683";"3L";31311264;31314359
"137";"AALB010133";"3R";8612188;8617264;-1;"AATE004894";"KI421887";10354281;10371705;"AGAP012054";"3L";36975510;36983150
"138";"AALB010444";"3R";13665893;13670074;-1;"AATE002248";"KI421887";2250957;2255496;"AGAP010808";"3L";10711925;10718096
"139";"AALB009862";"3R";3850731;3852898;-1;"AATE008217";"KI421902";1628390;1631203;"AGAP010925";"3L";13191172;13193478
"140";"AALB010413";"3R";13326113;13330438;-1;"AATE013627";"KI421901";3915977;3920669;"AGAP010608";"3L";7146146;7151785
"141";"AALB009915";"3R";4913284;4917585;1;"AATE000687";"KI421893";2123223;2127688;"AGAP011033";"3L";14874867;14877711
"142";"AALB015550";"3R";538418;544030;-1;"AATE017172";"KI421887";7741836;7748601;"AGAP011938";"3L";35400270;35406726
"143";"AALB010607";"3R";16377239;16379979;1;"AATE014652";"KI421893";1247329;1252321;"AGAP011042";"3L";15672012;15673234
"144";"AALB010114";"3R";8331494;8334666;1;"AATE013362";"KI421887";4180538;4181772;"AGAP028526";"3L";27222639;27223834
"145";"AALB007598";"3R";29155521;29172485;-1;"AATE006417";"KI421913";108443;128977;"AGAP010435";"3L";3313175;3329751
"146";"AALB010003";"3R";6151125;6155780;-1;"AATE006787";"KI421887";7190584;7197929;"AGAP012087";"3L";37502480;37505830
"147";"AALB010514";"3R";15097932;15101865;1;"AATE002968";"KI422078";15401;17138;"AGAP011795";"3L";33302656;33304248
"148";"AALB010764";"3R";18978751;18983756;-1;"AATE003788";"KI421899";908655;913705;"AGAP011127";"3L";17432848;17438594
"149";"AALB009825";"3R";3387546;3410144;-1;"AATE010251";"KI421902";2310221;2319072;"AGAP011331";"3L";21136209;21145709
"150";"AALB010040";"3R";6879712;6882900;1;"AATE021137";"KI421899";554732;576388;"AGAP011507";"3L";25783853;25785931
"151";"AALB007050";"3R";25932064;25932955;1;"AATE007730";"KI421893";744166;745431;"AGAP011165";"3L";18189106;18189992
"152";"AALB007471";"3R";32843500;32848989;1;"AATE013052";"KI421900";203826;209022;"AGAP004767";"2L";3194035;3196599
"153";"AALB010399";"3R";12887625;12889220;1;"AATE008985";"KI421901";3350843;3352476;"AGAP010592";"3L";6565273;6566713
"154";"AALB010692";"3R";17841026;17843502;1;"AATE020781";"KI421887";3493387;3496314;"AGAP010793";"3L";10414643;10416511
"155";"AALB015543";"3R";396039;397191;-1;"AATE008707";"KI421887";7919583;7921020;"AGAP011920";"3L";35135196;35136147
"156";"AALB009921";"3R";5147780;5148471;-1;"AATE004752";"KI421893";2417104;2417971;"AGAP011027";"3L";14586431;14587478
"157";"AALB003893";"3R";28422077;28425205;-1;"AATE021037";"KI421909";897057;900898;"AGAP010394";"3L";2612105;2635382
"158";"AALB010071";"3R";7377597;7380116;-1;"AATE015115";"KI421929";180570;182428;"AGAP012280";"3L";39754618;39756720
"159";"AALB010376";"3R";12719768;12721036;1;"AATE016960";"KI421887";8764449;8766516;"AGAP011839";"3L";33925153;33927790
"160";"AALB007397";"3R";27308604;27315901;-1;"AATE011904";"KI421902";160678;173680;"AGAP011314";"3L";20883193;20897200
"161";"AALB003943";"3R";23199818;23201409;1;"AATE010738";"KI421903";970606;971287;"AGAP011377";"3L";22492561;22493419
"162";"AALB010727";"3R";18148173;18155820;-1;"AATE018106";"KI421887";3181614;3184822;"AGAP010680";"3L";8342094;8345194
"163";"AALB010585";"3R";15887916;15889006;1;"AATE009306";"KI421887";525713;526798;"AGAP011220";"3L";19483804;19485190
"164";"AALB015563";"3R";23380032;23383852;1;"AATE003801";"KI421887";2897889;2902102;"AGAP011464";"3L";24972264;24976206
"165";"AALB006956";"3R";24181812;24226378;1;"AATE007873";"KI421909";601454;624803;"AGAP010456";"3L";3889732;3922022
"166";"AALB001226";"3R";31821758;31834056;-1;"AATE002998";"KI421917";63581;65281;"AGAP010379";"3L";2375097;2379546
"167";"AALB009769";"3R";2774518;2775717;-1;"AATE017462";"KI421901";2963584;2965120;"AGAP012029";"3L";36688665;36689865
"168";"AALB009955";"3R";5535701;5547464;1;"AATE002233";"KI421899";2699672;2715157;"AGAP028636";"3L";39163524;39172293
"169";"AALB003779";"3R";654423;658359;-1;"AATE012236";"KI421887";7599601;7601238;"AGAP028038";"3L";35585975;35587212
"170";"AALB007614";"3R";29847818;29848781;1;"AATE004006";"KI421913";688469;689754;"AGAP010450";"3L";3858682;3859782
"171";"AALB004062";"3R";21169984;21171586;1;"AATE018820";"KI421893";7737297;7739465;"AGAP028430";"3L";26923428;26924043
"172";"AALB010580";"3R";15854099;15859180;1;"AATE003381";"KI421887";487225;489673;"AGAP011216";"3L";19446199;19448003
"173";"AALB010761";"3R";18971813;18974465;1;"AATE019911";"KI421899";901792;904671;"AGAP012139";"3L";38005077;38006870
"174";"AALB009820";"3R";3266274;3266900;-1;"AATE002581";"KI421887";2936757;2937380;"AGAP028413";"3L";24946677;24947297
"175";"AALB003819";"3R";1176538;1178384;1;"AATE003585";"KI421887";8334774;8337311;"AGAP011870";"3L";34356716;34555878
"176";"AALB007409";"3R";27177489;27178831;-1;"AATE012242";"KI421894";1598186;1600066;"AGAP000365";"X";6766782;6768218
"177";"AALB010804";"3R";19705518;19706712;-1;"AATE003758";"KI421901";1006837;1008248;"AGAP012330";"3L";40703188;40704434
"178";"AALB007476";"3R";32728996;32735367;-1;"AATE008299";"KI421900";74820;77291;"AGAP004758";"2L";3070600;3072473
"179";"AALB009778";"3R";2880889;2881401;-1;"AATE003341";"KI421901";2806090;2806653;"AGAP012042";"3L";36834185;36835199
"180";"AALB014386";"3R";22285285;22286755;-1;"AATE014900";"KI421909";530743;531312;"AGAP027994";"3L";3950434;3950952
"181";"AALB010250";"3R";10684378;10691124;1;"AATE014985";"KI421887";8829526;8836231;"AGAP011822";"3L";33824771;33831791
"182";"AALB010589";"3R";16179551;16184955;1;"AATE019534";"KI421887";877997;884142;"AGAP011229";"3L";19811180;19818377
"183";"AALB006982";"3R";24505059;24507523;1;"AATE006890";"KI421910";614133;616829;"AGAP010940";"3L";13517729;13519004
"184";"AALB010821";"3R";19912882;19922697;-1;"AATE003017";"KI421887";9288643;9301098;"AGAP011766";"3L";33014518;33027203
"185";"AALB007399";"3R";27293705;27298780;1;"AATE017775";"KI421902";178916;190487;"AGAP011312";"3L";20840337;20848068
"186";"AALB007105";"3R";26699050;26702981;-1;"AATE017536";"KI421893";6870572;6873103;"AGAP011727";"3L";32495734;32497788
"187";"AALB009864";"3R";3871944;3872411;-1;"AATE020420";"KI421902";1595601;1606745;"AGAP028504";"3L";13158321;13160517
"188";"AALB010394";"3R";12873524;12877230;1;"AATE016604";"KI421901";3326206;3330167;"AGAP010587";"3L";6549097;6552583
"189";"AALB010173";"3R";9646652;9648231;1;"AATE005638";"KI421899";2253594;2255053;"AGAP010622";"3L";7356645;7357957
"190";"AALB010129";"3R";8526707;8532073;-1;"AATE009950";"KI421887";9430602;9447884;"AGAP012051";"3L";36877254;36877841
"191";"AALB015494";"3R";4325818;4348264;1;"AATE021692";"KI421899";1808627;1836461;"AGAP011070";"3L";16241949;16264072
"192";"AALB007442";"3R";26994544;26995776;-1;"AATE019811";"KI421893";4722227;4723414;"AGAP012120";"3L";37837302;37838516
"193";"AALB003810";"3R";964795;972268;-1;"AATE004128";"KI421887";9773916;9778149;"AGAP012411";"3L";41808845;41811309
"194";"AALB003845";"3R";1628593;1629327;-1;"AATE008918";"KI421887";5441250;5441966;"AGAP011615";"3L";29872175;29872992
"195";"AALB008490";"3R";23676474;23679522;-1;"AATE014112";"KI421893";6459136;6460138;"AGAP011713";"3L";32068895;32069724
"196";"AALB003858";"3R";2030201;2038301;1;"AATE017571";"KI421887";4947981;4950294;"AGAP011603";"3L";29279442;29300462
"197";"AALB007459";"3R";33159185;33160628;1;"AATE007628";"KI421924";216861;220325;"AGAP004698";"2L";1969023;1971192
"198";"AALB007495";"3R";32544132;32547576;1;"AATE006678";"KI421931";53859;63602;"AGAP004731";"2L";2867519;2886486
"199";"AALB003800";"3R";896981;897657;1;"AATE016218";"KI421887";7300799;7302288;"AGAP012415";"3L";41828846;41829610
"200";"AALB003747";"3R";323033;328247;-1;"AATE000425";"KI421887";8003788;8038119;"AGAP011916";"3L";34979677;35045570
"201";"AALB003733";"3R";155457;156674;-1;"AATE002601";"KI421887";8232513;8234493;"AGAP011895";"3L";34672947;34674479
"202";"AALB010812";"3R";19839145;19845853;1;"AATE012956";"KI421901";2387337;2394671;"AGAP012167";"3L";38253904;38260323
"203";"AALB009873";"3R";4024749;4026095;-1;"AATE021020";"KI421899";2246462;2248206;"AGAP010624";"3L";7362973;7364583
"204";"AALB010518";"3R";15118003;15118785;1;"AATE005289";"KI421899";4521601;4522469;"AGAP011799";"3L";33330741;33331377
"205";"AALB001248";"3R";31629148;31638655;1;"AATE002427";"KI421917";257588;259999;"AGAP010357";"3L";2138012;2140343
"206";"AALB010275";"3R";10983167;10984645;1;"AATE019643";"KI421899";1463511;1466319;"AGAP011061";"3L";15808210;15809335
"207";"AALB010590";"3R";16238034;16244439;1;"AATE011741";"KI421887";966864;974650;"AGAP028623";"3L";19925076;19933291
"208";"AALB007028";"3R";25525003;25529127;-1;"AATE020306";"KI421893";361990;367374;"AGAP011187";"3L";18555488;18559531
"209";"AALB009953";"3R";5532471;5533864;-1;"AATE020663";"KI421893";3939181;3945584;"AGAP010514";"3L";5547073;5562155
"210";"AALB010297";"3R";11598428;11602035;1;"AATE007830";"KI421887";6172089;6181033;"AGAP011648";"3L";30789301;30791598
"211";"AALB007094";"3R";26555914;26567111;1;"AATE012000";"KI421901";2629082;2636660;"AGAP011737";"3L";32665460;32722956
"212";"AALB015886";"3R";18427181;18428312;1;"AATE013683";"KI421893";5936347;5937374;"AGAP010647";"3L";7954012;7954764
"213";"AALB007087";"3R";26423160;26425014;-1;"AATE000888";"KI421901";2782832;2784989;"AGAP012047";"3L";36856282;36865914
"214";"AALB010547";"3R";15319196;15321041;-1;"AATE019115";"KI421899";3878353;3883379;"AGAP010717";"3L";8939373;8941390
